,sent_index,token,label,chapter_tag,split_tag
84,5,must,O,Chapter 1,train
85,5,know,O,Chapter 1,train
86,5,",",O,Chapter 1,train
87,5,Mrs,O,Chapter 1,train
88,5,Long,O,Chapter 1,train
89,5,says,O,Chapter 1,train
90,5,that,O,Chapter 1,train
91,5,Netherfield,O,Chapter 1,train
92,5,is,O,Chapter 1,train
93,5,taken,O,Chapter 1,train
94,5,by,O,Chapter 1,train
95,5,a,O,Chapter 1,train
96,5,young,O,Chapter 1,train
97,5,man,O,Chapter 1,train
98,5,of,O,Chapter 1,train
99,5,large,O,Chapter 1,train
100,5,fortune,O,Chapter 1,train
101,5,from,O,Chapter 1,train
102,5,the,O,Chapter 1,train
103,5,north,O,Chapter 1,train
104,5,of,O,Chapter 1,train
105,5,England,O,Chapter 1,train
106,5,;,O,Chapter 1,train
107,5,that,O,Chapter 1,train
108,5,he,O,Chapter 1,train
109,5,came,O,Chapter 1,train
110,5,down,O,Chapter 1,train
111,5,on,O,Chapter 1,train
112,5,Monday,O,Chapter 1,train
113,5,in,O,Chapter 1,train
114,5,a,O,Chapter 1,train
115,5,chaise,O,Chapter 1,train
116,5,and,O,Chapter 1,train
117,5,four,O,Chapter 1,train
118,5,to,O,Chapter 1,train
119,5,see,O,Chapter 1,train
120,5,the,O,Chapter 1,train
121,5,place,O,Chapter 1,train
122,5,",",O,Chapter 1,train
123,5,and,O,Chapter 1,train
124,5,was,O,Chapter 1,train
125,5,so,O,Chapter 1,train
126,5,much,O,Chapter 1,train
127,5,delighted,O,Chapter 1,train
128,5,with,O,Chapter 1,train
129,5,it,O,Chapter 1,train
130,5,",",O,Chapter 1,train
131,5,that,O,Chapter 1,train
132,5,he,O,Chapter 1,train
133,5,agreed,O,Chapter 1,train
134,5,with,O,Chapter 1,train
135,5,Mr,O,Chapter 1,train
136,5,Morris,O,Chapter 1,train
137,5,immediately,O,Chapter 1,train
138,5,;,O,Chapter 1,train
139,5,that,O,Chapter 1,train
140,5,he,O,Chapter 1,train
141,5,is,O,Chapter 1,train
142,5,to,O,Chapter 1,train
143,5,take,O,Chapter 1,train
144,5,possession,O,Chapter 1,train
145,5,before,O,Chapter 1,train
146,5,Michaelmas,O,Chapter 1,train
147,5,",",O,Chapter 1,train
148,5,and,O,Chapter 1,train
149,5,some,O,Chapter 1,train
150,5,of,O,Chapter 1,train
151,5,his,O,Chapter 1,train
152,5,servants,O,Chapter 1,train
153,5,are,O,Chapter 1,train
154,5,to,O,Chapter 1,train
155,5,be,O,Chapter 1,train
156,5,in,O,Chapter 1,train
157,5,the,O,Chapter 1,train
158,5,house,O,Chapter 1,train
159,5,by,O,Chapter 1,train
160,5,the,O,Chapter 1,train
161,5,end,O,Chapter 1,train
162,5,of,O,Chapter 1,train
163,5,next,O,Chapter 1,train
164,5,week,O,Chapter 1,train
165,5,.,O,Chapter 1,train
166,5,"""",O,Chapter 1,train
167,6,"""",B-R,Chapter 1,train
168,6,What,I-R,Chapter 1,train
169,6,is,I-R,Chapter 1,train
170,6,his,I-R,Chapter 1,train
171,6,name,I-R,Chapter 1,train
172,6,?,I-R,Chapter 1,train
173,6,"""",I-R,Chapter 1,train
174,7,"""",B-R,Chapter 1,train
175,7,Bingley,I-R,Chapter 1,train
176,7,.,I-R,Chapter 1,train
177,7,"""",I-R,Chapter 1,train
178,8,"""",B-R,Chapter 1,train
179,8,Is,I-R,Chapter 1,train
180,8,he,I-R,Chapter 1,train
181,8,married,I-R,Chapter 1,train
182,8,or,I-R,Chapter 1,train
183,8,single,I-R,Chapter 1,train
184,8,?,I-R,Chapter 1,train
185,8,"""",I-R,Chapter 1,train
186,9,"""",B-R,Chapter 1,train
187,9,Oh,I-R,Chapter 1,train
188,9,!,I-R,Chapter 1,train
189,9,Single,I-R,Chapter 1,train
190,9,",",I-R,Chapter 1,train
191,9,my,I-R,Chapter 1,train
192,9,dear,I-R,Chapter 1,train
193,9,",",I-R,Chapter 1,train
194,9,to,I-R,Chapter 1,train
195,9,be,I-R,Chapter 1,train
196,9,sure,I-R,Chapter 1,train
197,9,!,I-R,Chapter 1,train
198,9,A,I-R,Chapter 1,train
199,9,single,I-R,Chapter 1,train
200,9,man,I-R,Chapter 1,train
201,9,of,I-R,Chapter 1,train
202,9,large,I-R,Chapter 1,train
203,9,fortune,I-R,Chapter 1,train
204,9,;,I-R,Chapter 1,train
205,9,four,I-R,Chapter 1,train
206,9,or,I-R,Chapter 1,train
207,9,five,I-R,Chapter 1,train
208,9,thousand,I-R,Chapter 1,train
209,9,a,I-R,Chapter 1,train
210,9,year,I-R,Chapter 1,train
211,9,.,I-R,Chapter 1,train
212,9,What,I-R,Chapter 1,train
213,9,a,I-R,Chapter 1,train
214,9,fine,I-R,Chapter 1,train
215,9,thing,I-R,Chapter 1,train
216,9,for,I-R,Chapter 1,train
217,9,our,I-R,Chapter 1,train
218,9,girls,I-R,Chapter 1,train
219,9,!,I-R,Chapter 1,train
220,9,"""",I-R,Chapter 1,train
221,10,"""",B-R,Chapter 1,train
222,10,How,I-R,Chapter 1,train
223,10,so,I-R,Chapter 1,train
224,10,?,I-R,Chapter 1,train
225,10,How,I-R,Chapter 1,train
226,10,can,I-R,Chapter 1,train
227,10,it,I-R,Chapter 1,train
228,10,affect,I-R,Chapter 1,train
229,10,them,I-R,Chapter 1,train
230,10,?,I-R,Chapter 1,train
231,10,"""",I-R,Chapter 1,train
232,11,"""",B-R,Chapter 1,train
233,11,My,I-R,Chapter 1,train
234,11,dear,I-R,Chapter 1,train
235,11,Mr,I-R,Chapter 1,train
236,11,Bennet,I-R,Chapter 1,train
237,11,",",I-R,Chapter 1,train
238,11,"""",I-R,Chapter 1,train
239,11,*,I-R,Chapter 1,train
240,11,"""",I-R,Chapter 1,train
241,11,how,I-R,Chapter 1,train
242,11,can,I-R,Chapter 1,train
243,11,you,I-R,Chapter 1,train
244,11,be,I-R,Chapter 1,train
245,11,so,I-R,Chapter 1,train
246,11,tiresome,I-R,Chapter 1,train
247,11,!,I-R,Chapter 1,train
248,11,You,I-R,Chapter 1,train
249,11,must,I-R,Chapter 1,train
250,11,know,I-R,Chapter 1,train
251,11,that,I-R,Chapter 1,train
252,11,I,I-R,Chapter 1,train
253,11,am,I-R,Chapter 1,train
254,11,thinking,I-R,Chapter 1,train
255,11,of,I-R,Chapter 1,train
256,11,his,I-R,Chapter 1,train
257,11,marrying,I-R,Chapter 1,train
258,11,one,I-R,Chapter 1,train
259,11,of,I-R,Chapter 1,train
260,11,them,I-R,Chapter 1,train
261,11,.,I-R,Chapter 1,train
262,11,"""",I-R,Chapter 1,train
263,12,"""",B-R,Chapter 1,train
264,12,Is,I-R,Chapter 1,train
265,12,that,I-R,Chapter 1,train
266,12,his,I-R,Chapter 1,train
267,12,design,I-R,Chapter 1,train
268,12,in,I-R,Chapter 1,train
269,12,settling,I-R,Chapter 1,train
270,12,here,I-R,Chapter 1,train
271,12,?,I-R,Chapter 1,train
272,12,"""",I-R,Chapter 1,train
273,13,"""",B-R,Chapter 1,train
274,13,Design,I-R,Chapter 1,train
275,13,!,I-R,Chapter 1,train
276,13,Nonsense,I-R,Chapter 1,train
277,13,",",I-R,Chapter 1,train
278,13,how,I-R,Chapter 1,train
279,13,can,I-R,Chapter 1,train
280,13,you,I-R,Chapter 1,train
281,13,talk,I-R,Chapter 1,train
282,13,so,I-R,Chapter 1,train
283,13,!,I-R,Chapter 1,train
284,13,But,I-R,Chapter 1,train
285,13,it,I-R,Chapter 1,train
286,13,is,I-R,Chapter 1,train
287,13,very,I-R,Chapter 1,train
288,13,likely,I-R,Chapter 1,train
289,13,that,I-R,Chapter 1,train
290,13,he,I-R,Chapter 1,train
291,13,may,I-R,Chapter 1,train
292,13,fall,I-R,Chapter 1,train
293,13,in,I-R,Chapter 1,train
294,13,love,I-R,Chapter 1,train
295,13,with,I-R,Chapter 1,train
296,13,one,I-R,Chapter 1,train
297,13,of,I-R,Chapter 1,train
298,13,them,I-R,Chapter 1,train
299,13,",",I-R,Chapter 1,train
300,13,and,I-R,Chapter 1,train
301,13,therefore,I-R,Chapter 1,train
302,13,you,I-R,Chapter 1,train
303,13,must,I-R,Chapter 1,train
304,13,visit,I-R,Chapter 1,train
305,13,him,I-R,Chapter 1,train
306,13,as,I-R,Chapter 1,train
307,13,soon,I-R,Chapter 1,train
308,13,as,I-R,Chapter 1,train
309,13,he,I-R,Chapter 1,train
310,13,comes,I-R,Chapter 1,train
311,13,.,I-R,Chapter 1,train
312,13,"""",I-R,Chapter 1,train
313,14,"""",B-R,Chapter 1,train
314,14,I,I-R,Chapter 1,train
315,14,see,I-R,Chapter 1,train
316,14,no,I-R,Chapter 1,train
317,14,occasion,I-R,Chapter 1,train
318,14,for,I-R,Chapter 1,train
319,14,that,I-R,Chapter 1,train
320,14,.,I-R,Chapter 1,train
321,14,You,I-R,Chapter 1,train
322,14,and,I-R,Chapter 1,train
323,14,the,I-R,Chapter 1,train
324,14,girls,I-R,Chapter 1,train
325,14,may,I-R,Chapter 1,train
326,14,go,I-R,Chapter 1,train
327,14,",",I-R,Chapter 1,train
328,14,or,I-R,Chapter 1,train
329,14,you,I-R,Chapter 1,train
330,14,may,I-R,Chapter 1,train
331,14,send,I-R,Chapter 1,train
332,14,them,I-R,Chapter 1,train
333,14,by,I-R,Chapter 1,train
334,14,themslves,I-R,Chapter 1,train
335,14,",",I-R,Chapter 1,train
336,14,which,I-R,Chapter 1,train
337,14,perhaps,I-R,Chapter 1,train
338,14,will,I-R,Chapter 1,train
339,14,be,I-R,Chapter 1,train
340,14,still,I-R,Chapter 1,train
341,14,better,I-R,Chapter 1,train
342,14,",",I-R,Chapter 1,train
343,14,for,I-R,Chapter 1,train
344,14,as,I-R,Chapter 1,train
345,14,you,I-R,Chapter 1,train
346,14,are,I-R,Chapter 1,train
347,14,as,I-R,Chapter 1,train
348,14,handsome,I-R,Chapter 1,train
349,14,as,I-R,Chapter 1,train
350,14,any,I-R,Chapter 1,train
351,14,of,I-R,Chapter 1,train
352,14,them,I-R,Chapter 1,train
353,14,",",I-R,Chapter 1,train
354,14,Mr,I-R,Chapter 1,train
355,14,Bingley,I-R,Chapter 1,train
356,14,may,I-R,Chapter 1,train
357,14,like,I-R,Chapter 1,train
358,14,you,I-R,Chapter 1,train
359,14,the,I-R,Chapter 1,train
360,14,best,I-R,Chapter 1,train
361,14,of,I-R,Chapter 1,train
362,14,the,I-R,Chapter 1,train
363,14,party,I-R,Chapter 1,train
364,14,.,I-R,Chapter 1,train
365,14,"""",I-R,Chapter 1,train
366,15,"""",B-R,Chapter 1,train
367,15,My,I-R,Chapter 1,train
368,15,dear,I-R,Chapter 1,train
369,15,",",I-R,Chapter 1,train
370,15,you,I-R,Chapter 1,train
371,15,flatter,I-R,Chapter 1,train
372,15,me,I-R,Chapter 1,train
373,15,.,I-R,Chapter 1,train
374,15,I,I-R,Chapter 1,train
375,15,certainly,I-R,Chapter 1,train
376,15,have,I-R,Chapter 1,train
377,15,had,I-R,Chapter 1,train
378,15,my,I-R,Chapter 1,train
379,15,share,I-R,Chapter 1,train
380,15,of,I-R,Chapter 1,train
381,15,beauty,I-R,Chapter 1,train
382,15,",",I-R,Chapter 1,train
383,15,but,I-R,Chapter 1,train
384,15,I,I-R,Chapter 1,train
385,15,do,I-R,Chapter 1,train
386,15,not,I-R,Chapter 1,train
387,15,pretend,I-R,Chapter 1,train
388,15,to,I-R,Chapter 1,train
389,15,be,I-R,Chapter 1,train
390,15,anything,I-R,Chapter 1,train
391,15,extraordinary,I-R,Chapter 1,train
392,15,now,I-R,Chapter 1,train
393,15,.,I-R,Chapter 1,train
394,15,When,I-R,Chapter 1,train
395,15,a,I-R,Chapter 1,train
396,15,woman,I-R,Chapter 1,train
397,15,has,I-R,Chapter 1,train
398,15,five,I-R,Chapter 1,train
399,15,grown-up,I-R,Chapter 1,train
400,15,daughters,I-R,Chapter 1,train
401,15,",",I-R,Chapter 1,train
402,15,she,I-R,Chapter 1,train
403,15,ought,I-R,Chapter 1,train
404,15,to,I-R,Chapter 1,train
405,15,give,I-R,Chapter 1,train
406,15,over,I-R,Chapter 1,train
407,15,thinking,I-R,Chapter 1,train
408,15,of,I-R,Chapter 1,train
409,15,her,I-R,Chapter 1,train
410,15,own,I-R,Chapter 1,train
411,15,beauty,I-R,Chapter 1,train
412,15,.,I-R,Chapter 1,train
413,15,"""",I-R,Chapter 1,train
414,16,"""",B-R,Chapter 1,train
415,16,In,I-R,Chapter 1,train
416,16,such,I-R,Chapter 1,train
417,16,cases,I-R,Chapter 1,train
418,16,",",I-R,Chapter 1,train
419,16,a,I-R,Chapter 1,train
420,16,woman,I-R,Chapter 1,train
421,16,has,I-R,Chapter 1,train
422,16,not,I-R,Chapter 1,train
423,16,often,I-R,Chapter 1,train
424,16,much,I-R,Chapter 1,train
425,16,beauty,I-R,Chapter 1,train
426,16,to,I-R,Chapter 1,train
427,16,think,I-R,Chapter 1,train
428,16,of,I-R,Chapter 1,train
429,16,.,I-R,Chapter 1,train
430,16,"""",I-R,Chapter 1,train
431,17,"""",B-R,Chapter 1,train
432,17,But,I-R,Chapter 1,train
433,17,",",I-R,Chapter 1,train
434,17,my,I-R,Chapter 1,train
435,17,dear,I-R,Chapter 1,train
436,17,",",I-R,Chapter 1,train
437,17,you,I-R,Chapter 1,train
438,17,must,I-R,Chapter 1,train
439,17,indeed,I-R,Chapter 1,train
440,17,go,I-R,Chapter 1,train
441,17,and,I-R,Chapter 1,train
442,17,see,I-R,Chapter 1,train
443,17,Mr,I-R,Chapter 1,train
444,17,Bingley,I-R,Chapter 1,train
445,17,when,I-R,Chapter 1,train
446,17,he,I-R,Chapter 1,train
447,17,comes,I-R,Chapter 1,train
448,17,into,I-R,Chapter 1,train
449,17,the,I-R,Chapter 1,train
450,17,neighbourhood,I-R,Chapter 1,train
451,17,.,I-R,Chapter 1,train
452,17,"""",I-R,Chapter 1,train
453,18,"""",B-R,Chapter 1,train
454,18,It,I-R,Chapter 1,train
455,18,is,I-R,Chapter 1,train
456,18,more,I-R,Chapter 1,train
457,18,than,I-R,Chapter 1,train
458,18,I,I-R,Chapter 1,train
459,18,engage,I-R,Chapter 1,train
460,18,for,I-R,Chapter 1,train
461,18,",",I-R,Chapter 1,train
462,18,I,I-R,Chapter 1,train
463,18,assure,I-R,Chapter 1,train
464,18,you,I-R,Chapter 1,train
465,18,.,I-R,Chapter 1,train
466,18,"""",I-R,Chapter 1,train
467,19,"""",B-R,Chapter 1,train
468,19,But,I-R,Chapter 1,train
469,19,consider,I-R,Chapter 1,train
470,19,your,I-R,Chapter 1,train
471,19,daughters,I-R,Chapter 1,train
472,19,.,I-R,Chapter 1,train
473,19,Only,I-R,Chapter 1,train
474,19,think,I-R,Chapter 1,train
475,19,what,I-R,Chapter 1,train
476,19,an,I-R,Chapter 1,train
477,19,establishment,I-R,Chapter 1,train
478,19,it,I-R,Chapter 1,train
479,19,would,I-R,Chapter 1,train
480,19,be,I-R,Chapter 1,train
481,19,for,I-R,Chapter 1,train
482,19,one,I-R,Chapter 1,train
483,19,of,I-R,Chapter 1,train
484,19,them,I-R,Chapter 1,train
485,19,.,I-R,Chapter 1,train
486,19,Sir,I-R,Chapter 1,train
487,19,William,I-R,Chapter 1,train
488,19,and,I-R,Chapter 1,train
489,19,Lady,I-R,Chapter 1,train
490,19,Lucas,I-R,Chapter 1,train
491,19,are,I-R,Chapter 1,train
492,19,determined,I-R,Chapter 1,train
493,19,to,I-R,Chapter 1,train
494,19,go,I-R,Chapter 1,train
495,19,",",I-R,Chapter 1,train
496,19,merely,I-R,Chapter 1,train
497,19,on,I-R,Chapter 1,train
498,19,that,I-R,Chapter 1,train
499,19,account,I-R,Chapter 1,train
500,19,",",I-R,Chapter 1,train
501,19,for,I-R,Chapter 1,train
502,19,in,I-R,Chapter 1,train
503,19,general,I-R,Chapter 1,train
504,19,",",I-R,Chapter 1,train
505,19,you,I-R,Chapter 1,train
506,19,know,I-R,Chapter 1,train
507,19,",",I-R,Chapter 1,train
508,19,they,I-R,Chapter 1,train
509,19,visit,I-R,Chapter 1,train
510,19,no,I-R,Chapter 1,train
511,19,newcomers,I-R,Chapter 1,train
512,19,.,I-R,Chapter 1,train
513,19,Indeed,I-R,Chapter 1,train
514,19,you,I-R,Chapter 1,train
515,19,must,I-R,Chapter 1,train
516,19,go,I-R,Chapter 1,train
517,19,",",I-R,Chapter 1,train
518,19,for,I-R,Chapter 1,train
519,19,it,I-R,Chapter 1,train
520,19,will,I-R,Chapter 1,train
521,19,be,I-R,Chapter 1,train
522,19,impossible,I-R,Chapter 1,train
523,19,for,I-R,Chapter 1,train
524,19,us,I-R,Chapter 1,train
525,19,to,I-R,Chapter 1,train
526,19,visit,I-R,Chapter 1,train
527,19,him,I-R,Chapter 1,train
528,19,if,I-R,Chapter 1,train
529,19,you,I-R,Chapter 1,train
530,19,do,I-R,Chapter 1,train
531,19,not,I-R,Chapter 1,train
532,19,.,I-R,Chapter 1,train
533,19,"""",I-R,Chapter 1,train
534,20,"""",B-R,Chapter 1,train
535,20,You,I-R,Chapter 1,train
536,20,are,I-R,Chapter 1,train
537,20,over-scrupulous,I-R,Chapter 1,train
538,20,",",I-R,Chapter 1,train
539,20,surely,I-R,Chapter 1,train
540,20,.,I-R,Chapter 1,train
541,20,I,I-R,Chapter 1,train
542,20,dare,I-R,Chapter 1,train
543,20,say,I-R,Chapter 1,train
544,20,Mr,I-R,Chapter 1,train
545,20,Bingley,I-R,Chapter 1,train
546,20,will,I-R,Chapter 1,train
547,20,be,I-R,Chapter 1,train
548,20,very,I-R,Chapter 1,train
549,20,glad,I-R,Chapter 1,train
550,20,to,I-R,Chapter 1,train
551,20,see,I-R,Chapter 1,train
552,20,you,I-R,Chapter 1,train
553,20,;,I-R,Chapter 1,train
554,20,and,I-R,Chapter 1,train
555,20,I,I-R,Chapter 1,train
556,20,will,I-R,Chapter 1,train
557,20,send,I-R,Chapter 1,train
558,20,a,I-R,Chapter 1,train
559,20,few,I-R,Chapter 1,train
560,20,lines,I-R,Chapter 1,train
561,20,by,I-R,Chapter 1,train
562,20,you,I-R,Chapter 1,train
563,20,to,I-R,Chapter 1,train
564,20,assure,I-R,Chapter 1,train
565,20,him,I-R,Chapter 1,train
566,20,of,I-R,Chapter 1,train
567,20,my,I-R,Chapter 1,train
568,20,hearty,I-R,Chapter 1,train
569,20,consent,I-R,Chapter 1,train
570,20,to,I-R,Chapter 1,train
571,20,his,I-R,Chapter 1,train
572,20,marrying,I-R,Chapter 1,train
573,20,whichever,I-R,Chapter 1,train
574,20,he,I-R,Chapter 1,train
575,20,chooses,I-R,Chapter 1,train
576,20,of,I-R,Chapter 1,train
577,20,the,I-R,Chapter 1,train
578,20,girls,I-R,Chapter 1,train
579,20,;,I-R,Chapter 1,train
580,20,though,I-R,Chapter 1,train
581,20,I,I-R,Chapter 1,train
582,20,must,I-R,Chapter 1,train
583,20,throw,I-R,Chapter 1,train
584,20,in,I-R,Chapter 1,train
585,20,a,I-R,Chapter 1,train
586,20,good,I-R,Chapter 1,train
587,20,word,I-R,Chapter 1,train
588,20,for,I-R,Chapter 1,train
589,20,my,I-R,Chapter 1,train
590,20,little,I-R,Chapter 1,train
591,20,Lizzy,I-R,Chapter 1,train
592,20,.,I-R,Chapter 1,train
593,20,"""",I-R,Chapter 1,train
594,21,"""",B-R,Chapter 1,train
595,21,I,I-R,Chapter 1,train
596,21,desire,I-R,Chapter 1,train
597,21,you,I-R,Chapter 1,train
598,21,will,I-R,Chapter 1,train
599,21,do,I-R,Chapter 1,train
600,21,no,I-R,Chapter 1,train
601,21,such,I-R,Chapter 1,train
602,21,thing,I-R,Chapter 1,train
603,21,.,I-R,Chapter 1,train
604,21,Lizzy,I-R,Chapter 1,train
605,21,is,I-R,Chapter 1,train
606,21,not,I-R,Chapter 1,train
607,21,a,I-R,Chapter 1,train
608,21,bit,I-R,Chapter 1,train
609,21,better,I-R,Chapter 1,train
610,21,than,I-R,Chapter 1,train
611,21,the,I-R,Chapter 1,train
612,21,others,I-R,Chapter 1,train
613,21,;,I-R,Chapter 1,train
614,21,and,I-R,Chapter 1,train
615,21,I,I-R,Chapter 1,train
616,21,am,I-R,Chapter 1,train
617,21,sure,I-R,Chapter 1,train
618,21,she,I-R,Chapter 1,train
619,21,is,I-R,Chapter 1,train
620,21,not,I-R,Chapter 1,train
621,21,half,I-R,Chapter 1,train
622,21,so,I-R,Chapter 1,train
623,21,handsome,I-R,Chapter 1,train
624,21,as,I-R,Chapter 1,train
625,21,Jane,I-R,Chapter 1,train
626,21,",",I-R,Chapter 1,train
627,21,nor,I-R,Chapter 1,train
628,21,half,I-R,Chapter 1,train
629,21,so,I-R,Chapter 1,train
630,21,good-humoured,I-R,Chapter 1,train
631,21,as,I-R,Chapter 1,train
632,21,Lydia,I-R,Chapter 1,train
633,21,.,I-R,Chapter 1,train
634,21,But,I-R,Chapter 1,train
635,21,you,I-R,Chapter 1,train
636,21,are,I-R,Chapter 1,train
637,21,always,I-R,Chapter 1,train
638,21,giving,I-R,Chapter 1,train
639,21,her,I-R,Chapter 1,train
640,21,the,I-R,Chapter 1,train
641,21,preference,I-R,Chapter 1,train
642,21,.,I-R,Chapter 1,train
643,21,"""",I-R,Chapter 1,train
644,22,"""",B-R,Chapter 1,train
645,22,They,I-R,Chapter 1,train
646,22,have,I-R,Chapter 1,train
647,22,none,I-R,Chapter 1,train
648,22,of,I-R,Chapter 1,train
649,22,them,I-R,Chapter 1,train
650,22,much,I-R,Chapter 1,train
651,22,to,I-R,Chapter 1,train
652,22,recommend,I-R,Chapter 1,train
653,22,them,I-R,Chapter 1,train
654,22,",",I-R,Chapter 1,train
655,22,"""",I-R,Chapter 1,train
656,22,*,I-R,Chapter 1,train
657,22,"""",I-R,Chapter 1,train
658,22,they,I-R,Chapter 1,train
659,22,are,I-R,Chapter 1,train
660,22,all,I-R,Chapter 1,train
661,22,silly,I-R,Chapter 1,train
662,22,and,I-R,Chapter 1,train
663,22,ignorant,I-R,Chapter 1,train
664,22,like,I-R,Chapter 1,train
665,22,other,I-R,Chapter 1,train
666,22,girls,I-R,Chapter 1,train
667,22,;,I-R,Chapter 1,train
668,22,but,I-R,Chapter 1,train
669,22,Lizzy,I-R,Chapter 1,train
670,22,has,I-R,Chapter 1,train
671,22,something,I-R,Chapter 1,train
672,22,more,I-R,Chapter 1,train
673,22,of,I-R,Chapter 1,train
674,22,quickness,I-R,Chapter 1,train
675,22,than,I-R,Chapter 1,train
676,22,her,I-R,Chapter 1,train
677,22,sisters,I-R,Chapter 1,train
678,22,.,I-R,Chapter 1,train
679,22,"""",I-R,Chapter 1,train
680,23,"""",B-R,Chapter 1,train
681,23,Mr,I-R,Chapter 1,train
682,23,Bennet,I-R,Chapter 1,train
683,23,",",I-R,Chapter 1,train
684,23,how,I-R,Chapter 1,train
685,23,can,I-R,Chapter 1,train
686,23,you,I-R,Chapter 1,train
687,23,abuse,I-R,Chapter 1,train
688,23,your,I-R,Chapter 1,train
689,23,own,I-R,Chapter 1,train
690,23,children,I-R,Chapter 1,train
691,23,in,I-R,Chapter 1,train
692,23,such,I-R,Chapter 1,train
693,23,a,I-R,Chapter 1,train
694,23,way,I-R,Chapter 1,train
695,23,?,I-R,Chapter 1,train
696,23,You,I-R,Chapter 1,train
697,23,take,I-R,Chapter 1,train
698,23,delight,I-R,Chapter 1,train
699,23,in,I-R,Chapter 1,train
700,23,vexing,I-R,Chapter 1,train
701,23,me,I-R,Chapter 1,train
702,23,.,I-R,Chapter 1,train
703,23,You,I-R,Chapter 1,train
704,23,have,I-R,Chapter 1,train
705,23,no,I-R,Chapter 1,train
706,23,compassion,I-R,Chapter 1,train
707,23,for,I-R,Chapter 1,train
708,23,my,I-R,Chapter 1,train
709,23,poor,I-R,Chapter 1,train
710,23,nerves,I-R,Chapter 1,train
711,23,.,I-R,Chapter 1,train
712,23,"""",I-R,Chapter 1,train
713,24,"""",B-R,Chapter 1,train
714,24,You,I-R,Chapter 1,train
715,24,mistake,I-R,Chapter 1,train
716,24,me,I-R,Chapter 1,train
717,24,",",I-R,Chapter 1,train
718,24,my,I-R,Chapter 1,train
719,24,dear,I-R,Chapter 1,train
720,24,.,I-R,Chapter 1,train
721,24,I,I-R,Chapter 1,train
722,24,have,I-R,Chapter 1,train
723,24,a,I-R,Chapter 1,train
724,24,high,I-R,Chapter 1,train
725,24,respect,I-R,Chapter 1,train
726,24,for,I-R,Chapter 1,train
727,24,your,I-R,Chapter 1,train
